applicant_id,legal_name,dba_name,ein,owner_ssn_last4,email,phone,tenant_id,created_at,mailing_city,mailing_state,mailing_zip
1,Huntersville Catering Solutions Inc,,941847351,1236,emily.young@huntersville.com,486-727-8909,BAYLINE,2022-03-28 21:20:52.596840-05:00,Raleigh,NC,27601
2,Lopez Veterinary Solutions Inc,,83 4216139,3952,jason.nelson@lopezinc.com,680-944-1749,NSC_DIRECT,2025-11-06 20:53:04.799726-05:00,Charlotte,NC,28204
3,Kannapolis Optical Partners LLC,Kannapolis Optical Partners,49-1845923,1786,christopher.rodriguez@kannapolisco.com,398-206-5390,NSC_DIRECT,2025-12-04 18:26:45.136250-05:00,Sacramento,CA,95814
4,Concord Janitorial LLC,,45-2576414,2573,jessica.gonzalez@concordco.com,857-969-3898,CASCADE,2021-06-21 00:59:11.532524-05:00,Richmond,VA,23219
5,Taylor Janitorial LLC,,63-5316153,9135,robert.rivera@taylorinc.com,635-391-8674,NSC_DIRECT,2021-03-06 20:36:15.145099-05:00,Concord,NC,28025
6,Salisbury Auto Partners LLC,Salisbury Auto Partners,459386970,8060,robert.hill@salisbury.com,9792647709,CASCADE,2022-06-26 05:33:15.846662-05:00,Bakersfield,CA,93301
7,Granite Services Solutions Inc,,41-0778863,0547,nicholas.gonzalez@granite.com,337-827-2490,NSC_DIRECT,2019-05-21 04:41:25.247546-05:00,Charlotte,NC,28204
8,Uwharrie Roasters Group LLC,,91-2306590,9000,robert.rodriguez@uwharrie.com,920-329-6497,NSC_DIRECT,2022-01-26 08:02:53.430134-05:00,Sacramento,CA,95814
9,Mallard Company Inc,,85-1407784,1933,betty.blalock@mallard.com,532-540-2407,NSC_DIRECT,2024-02-10 05:28:53.510697-05:00,Nashville,TN,37201
10,Granite Supply LLC,,75-9905944,8366,stephen.young@graniteco.com,804-876-9435,NSC_DIRECT,2019-10-14 08:35:34.290263-05:00,Winston-Salem,NC,27101
11,Statesville Contractors Inc,Statesville Contractors,49-9000425,0218,sharon.ramirez@statesvilleinc.com,6709788554,CASCADE,2020-10-27 01:03:54.921046-05:00,Sacramento,CA,95814
12,Torres Salon LLC,Torres Salon,,,emily.boyd@torresco.com,711-379-3745,NSC_DIRECT,2020-01-19 00:58:32.390842-05:00,Gastonia,NC,28054
13,Cherryville Enterprises LLC,,81-5581775,3268,brenda.smith@cherryvilleco.com,4255959616,NSC_DIRECT,2025-01-10 04:46:55.036100-05:00,Raleigh,NC,27601
14,Waxhaw Machine LLC,,25-8389608,1348,amy.lopez@waxhawbiz.com,(234) 929-8345,NSC_DIRECT,2020-12-11 10:53:51.214842-05:00,Charlotte,NC,28211
15,Maple Contractors Inc,,,2092,rebecca.clark@maple.com,928-508-5588,NSC_DIRECT,2022-10-15 17:05:48.394620-05:00,Sacramento,CA,95814
16,Cornelius Staffing Co,Cornelius Staffing,,1967,stephanie.nguyen@corneliusbiz.com,213-657-5215,CASCADE,2023-05-13 17:32:58.125819-05:00,Winston-Salem,NC,27101
17,Piedmont HVAC Inc,,31-9406605,6239,nancy.vasquez@piedmontbiz.com,4904799121,NSC_DIRECT,2024-05-10 06:31:48.104844-05:00,Concord,NC,28025
18,Rowan Services LLC,Rowan Services,95-5245649,1130,melissa.gonzalez@rowanbiz.com,219-788-6597,NSC_DIRECT,2025-12-06 08:45:50.232705-05:00,Richmond,VA,23219
19,Mooresville Roasters LLC,,623496259,7048,nancy.mabry@mooresvillebiz.com,(406) 961-1975,NSC_DIRECT,2024-03-25 07:22:41.930201-05:00,Nashville,TN,37201
20,Davidson Roasters Solutions Inc,,20 3685343,0609,donald.allen@davidson.com,385-840-2357,NSC_DIRECT,2024-06-27 02:15:58.180246-05:00,Norfolk,VA,23510
21,Tryon Staffing Partners LLC,,56 2215826,2174,george.lee@tryonbiz.com,246-420-2115,NSC_DIRECT,2022-04-28 02:14:51.983651-05:00,Raleigh,NC,27601
22,Matthews Physical Therapy Co,,,,charles.wright@matthewsco.com,441-803-4625,BAYLINE,2021-04-15 08:50:11.172509-05:00,Concord,NC,28025
23,Pinehurst Metal LLC,Pinehurst Metal,777660980,2127,timothy.torres@pinehurst.com,3115111599,NSC_DIRECT,2023-08-23 17:57:52.938689-05:00,Charlotte,NC,28202
24,Cheng Security Inc,,74-7168167,1079,robert.vasquez@cheng.com,5487915677,NSC_DIRECT,2024-06-20 00:10:13.806736-05:00,Greenville,SC,29601
25,Salisbury Irrigation LLC,Salisbury Irrigation,346062494,3300,karen.brown@salisburyco.com,917-871-6645,BAYLINE,2020-07-16 05:09:06.170154-05:00,Columbia,SC,29201
26,Kestrel Veterinary Co,,566984202,6084,emily.adams@kestrel.com,291-754-6482,CASCADE,2021-05-12 20:29:46.869599-05:00,Riverside,CA,92501
27,Huntersville Welding Solutions Inc,,58-3570035,8240,jacob.robinson@huntersvillebiz.com,261-481-6942,CASCADE,2021-03-26 07:01:56.582159-05:00,Sacramento,CA,95814
28,Statesville Coffee LLC,,87-8679642,,karen.king@statesvilleinc.com,723-767-2053,NSC_DIRECT,2021-01-30 04:29:38.672287-05:00,Greenville,SC,29601
29,Idlewild Staffing Co,,538865930,8520,betty.nguyen@idlewildinc.com,568-346-9781,BAYLINE,2022-08-12 15:36:50.649927-05:00,Gastonia,NC,28054
30,Lewis Fitness Holdings LLC,,871950997,,kimberly.taylor@lewisbiz.com,(232) 781-2281,NSC_DIRECT,2022-10-30 01:50:08.932568-05:00,Rock Hill,SC,29730
31,Davidson Salon Services LLC,,52-6390253,2065,donald.adams@davidsonbiz.com,997-987-6583,NSC_DIRECT,2022-01-15 14:42:00.937107-05:00,Raleigh,NC,27601
