document_id,application_id,doc_type,file_name,mime_type,size_bytes,storage_key,source,page_count,uploaded_by,uploaded_at,status,sha256,ocr_quality
1,1,BANK_STATEMENT,huntersville-catering-soluti-bank_statement-202602.pdf,application/pdf,1079505,northstar-documents/bayline/1/1/huntersville-catering-soluti-bank_statement-202602.pdf,EMAIL,7,intake@northstarcapital.com,2026-02-12 19:16:31.449703-05:00,PARSED,,fair
2,1,DEBT_SCHEDULE,huntersville-catering-soluti-debt_schedule-202602.xls,application/vnd.ms-excel,3706672,northstar-documents/bayline/1/2/huntersville-catering-soluti-debt_schedule-202602.xls,PORTAL_UPLOAD,16,emily.young@huntersville.com,2026-02-10 19:21:12.378522-05:00,PARSED,435d25620d182883a6f23b556c6f165ad9afb54c025f06531302eac9d27f4e0f,good
3,1,BANK_STATEMENT,huntersville-catering-soluti-bank_statement-202602.pdf,application/pdf,1036126,northstar-documents/bayline/1/3/huntersville-catering-soluti-bank_statement-202602.pdf,LEDGERLINK,14,system,2026-02-10 07:40:31.456938-05:00,PARSED,,fair
4,2,BANK_STATEMENT,fax-20260204-0004.pdf,application/pdf,808101,northstar-documents/nsc_direct/2/4/fax-20260204-0004.pdf,FAX,3,system,2026-02-04 12:59:03.797759-05:00,PARSED,,poor
5,2,DEBT_SCHEDULE,lopez-veterinary-solutions-i-debt_schedule-202602.xls,application/vnd.ms-excel,4171625,northstar-documents/nsc_direct/2/5/lopez-veterinary-solutions-i-debt_schedule-202602.xls,PORTAL_UPLOAD,23,jason.nelson@lopezinc.com,2026-02-06 07:17:47.808247-05:00,QUARANTINED,c575c5c4ddf108888abe698bb24ee77aaf4fd13ac28f48cc3e855e3bd9539753,good
6,2,VOIDED_CHECK,fax-20260205-0006.pdf,application/pdf,5255600,northstar-documents/nsc_direct/2/6/fax-20260205-0006.pdf,FAX,25,system,2026-02-05 23:35:03.180183-05:00,PARSED,,fair
7,2,TAX_RETURN,lopez-veterinary-solutions-i-tax_return-202602.pdf,application/pdf,7360794,northstar-documents/nsc_direct/2/7/lopez-veterinary-solutions-i-tax_return-202602.pdf,PORTAL_UPLOAD,27,jason.nelson@lopezinc.com,2026-02-06 10:58:12.201175-05:00,PARSED,017c5cc0323df6f5cd0aaa9121e4bb99944a3aa0eb8ee0cffb9131563eec7aaa,good
8,2,BANK_STATEMENT,lopez-veterinary-solutions-i-bank_statement-202602.pdf,application/pdf,1168732,northstar-documents/nsc_direct/2/8/lopez-veterinary-solutions-i-bank_statement-202602.pdf,PORTAL_UPLOAD,4,jason.nelson@lopezinc.com,2026-02-05 18:47:27.702145-05:00,PARSED,e662a4584fe9644d32c6e196e6f5a5cd4ef1b77be3dc338977c4fbb0e6f123ea,good
9,2,DRIVERS_LICENSE,lopez-veterinary-solutions-i-drivers_license-202602.jpg,image/jpeg,438567,northstar-documents/nsc_direct/2/9/lopez-veterinary-solutions-i-drivers_license-202602.jpg,PORTAL_UPLOAD,3,jason.nelson@lopezinc.com,2026-02-07 07:39:33.850138-05:00,PARSED,255be1e1942f74e24875113df29b20fcee388d44a05a93eb9374d1b9f2b60943,good
10,2,TAX_RETURN,lopez-veterinary-solutions-i-tax_return-202602.pdf,application/pdf,271837,northstar-documents/nsc_direct/2/10/lopez-veterinary-solutions-i-tax_return-202602.pdf,PORTAL_UPLOAD,1,jason.nelson@lopezinc.com,2026-02-06 21:59:23.983455-05:00,PARSED,e27bca2d79bf10e419c18f7a5b2d378f8b52873d8aed0ea8f7668f4c41695992,good
